OBJECTID,CSA2010,wstud10,wstud11,wstud12,wstud13,wstud14,wstud15,wstud16,wstud17,wstud19,wstud20,CSA2020,wstud21,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,2.903124,3.52,3.9,3.75,3.77,3.72,4.09,4.0480427,3.69420215495125,3.52494577006507,Allendale/Irvington/S. Hilton,3.97127165188002,63770461.821228,38770.1656019261
2,Beechfield/Ten Hills/West Hills,2.140078,2.49,2.48,2.88,2.74,2.84,2.7,4.9180328,4.14342629482071,3.84300899427636,Beechfield/Ten Hills/West Hills,3.89329488103821,47882527.5679321,37524.9503628655
3,Belair-Edison,1.251091,1.52,1.38,1.42,1.54,1.38,1.79,2.2832817,2.94840294840294,3.00202839756592,Belair-Edison,3.46070656092285,44950030.7208252,31307.3140506216
4,Brooklyn/Curtis Bay/Hawkins Point,31.12069,31.62,30.21,30.31,28.67,27.55,27.63,26.264343,24.0483654276757,21.8365553602811,Brooklyn/Curtis Bay/Hawkins Point,20.8349590323839,176077742.744141,150987.704011462
5,Canton,59.78836,54.6,51.26,54.5,49.06,51.48,51.72,54.320988,65.359477124183,70.9219858156028,Canton,67.8571428571429,15408538.4275513,23338.6132868556
6,Cedonia/Frankford,3.469775,4.2,4.06,3.8,3.74,3.36,3.08,3.815261,4.17596429709913,4.13793103448275,Cedonia/Frankford,3.54924578527063,71541340.133667,39962.549883229
7,Cherry Hill,0.488759,0.76,0.98,0.99,1.1,1.17,1.17,1.3732834,1.71844018506278,1.54258886653252,Cherry Hill,1.75332527206771,29144180.8742065,22305.3021421127
8,Chinquapin Park/Belvedere,3.602726,4.67,4.84,5.04,5.44,6.18,6.74,7.173913,7.94044665012407,9.32642487046632,Chinquapin Park/Belvedere,8.29596412556054,21022590.1247559,21705.4094429356
9,Claremont/Armistead,23.80204,20.91,19.24,17.38,17.36,16.19,14.28,12.259194,11.3595166163141,11.453488372093,Orchard Ridge/Armistead,11.752470098804,61243774.501709,40104.4160556835
10,Clifton-Berea,0.257843,0.55,0.67,0.64,0.55,1.17,1.05,1.0494753,1.58730158730158,2.14395099540581,Clifton-Berea,1.9674355495251,23285233.6271362,24022.7642916278
11,Cross-Country/Cheswolde,4.907975,8.42,6.36,8.4,10.73,10.08,7.31,7.8384798,7.487922705314,7.61904761904761,Cross-Country/Cheswolde,7.50551876379691,38222018.0605469,26788.3013078282
12,Dickeyville/Franklintown,0.536673,1.03,2.01,1.5,1.08,1.12,1.41,1.9093079,1.42857142857142,0.737100737100737,Dickeyville/Franklintown,2.72108843537415,35719112.5067749,31637.8173032769
13,Dorchester/Ashburton,0.377562,1.2,0.92,0.86,0.67,0.68,0.54,0.9174312,1.37981118373275,1.56739811912225,Dorchester/Ashburton,1.54277699859748,34118277.2200317,27136.0752459254
14,Downtown/Seton Hill,2.222222,2.75,4.84,7.06,7.82,12.8,14.04,11.934156,5.23809523809523,6.91244239631336,Downtown/Seton Hill,6.54545454545455,20736554.2845459,21565.8588322546
15,Edmondson Village,0.254615,0.3,0.2,0.21,0.5,0.6,0.68,0.8148148,0.970873786407766,0.506756756756756,Edmondson Village,0.607441154138193,23563061.1518555,21504.5514767658
16,Fells Point,20.46632,26.37,25.93,24.82,25.13,27.91,27.27,26.582278,25.5905511811023,26.1363636363636,Fells Point,26.232741617357,12620515.5970459,27670.1671671556
17,Forest Park/Walbrook,0.479616,0.53,0.63,0.59,0.78,0.86,0.86,1.6467066,1.32890365448504,1.4516129032258,Forest Park/Walbrook,1.27723516153268,37200535.0928955,36886.8992983876
18,Glen-Fallstaff,4.274809,3.76,3.84,4.54,4.52,4.85,4.45,3.6236491,3.84087791495198,4.10863509749303,Glen-Fallstaff,4.38652256834075,46995476.9956665,48549.0047227537
19,Greater Charles Village/Barclay,5.894309,7.87,9.3,8.53,8.25,8.18,7.89,10.243278,12.3032904148783,12.3626373626373,Greater Charles Village/Barclay,11.9589977220957,27051213.6091919,26454.2704609983
20,Greater Govans,0.569152,1.26,1.24,1.81,1.62,2.06,2.24,1.6518424,2.90780141843971,3.1163434903047,Greater Govans,2.93937538273117,22698495.9123535,22982.1256297
21,Greater Mondawmin,0.175644,0.63,0.84,0.45,0.83,0.9,0.61,0.3265306,1.23456790123456,1.11587982832618,Greater Mondawmin,1.82250396196513,33663448.1807861,31136.7322031244
22,Greater Roland Park/Poplar Hill,55.52239,59.36,57.57,58.03,62.68,62.39,63.96,65.079365,68.065268065268,69.1588785046729,Greater Roland Park/Poplar Hill,63.8297872340426,56688144.8244629,39862.749623406
23,Greater Rosemont,0.256871,0.51,0.63,0.49,0.66,0.59,0.69,0.6887052,0.329188002926115,0.735578784359272,Greater Rosemont,0.782361308677098,42204384.286499,32559.0766934728
24,Greenmount East,0.461361,0.42,0.38,0.68,0.59,0.51,0.71,1.0069713,1.12847222222222,2.02312138728323,Oliver/Johnson Square,1.11022997620936,19072287.8216553,20797.4735206698
25,Hamilton,9.144701,10.37,10.1,10.14,10.44,10.33,9.14,7.4859638,8.87880751782242,9.85545335085414,Hamilton,10.2259215219976,45191100.4423218,27712.1109038426
26,Harbor East/Little Italy,0.958084,1.58,1.39,1.11,1.64,2.09,2.19,3.5236938,6.79758308157099,8.43585237258348,Harbor East/Little Italy,5.12445095168375,10215859.2982788,18552.4071787259
27,Harford/Echodale,12.58741,11.21,11.55,11.24,11.07,9.93,9.61,9.7424412,11.1880046136101,10.7613050944476,Hamilton Hills,11.2324492979719,65360039.0682983,40019.1864748473
28,Highlandtown,26.97495,25.48,23.65,23.24,21.86,18.69,15.55,17.055394,13.6842105263157,12.6137841352405,Highlandtown,14.3956043956044,11684191.3214722,14976.1236496044
29,Howard Park/West Arlington,0.634249,1.02,0.84,0.81,0.51,0.62,0.74,0.5295675,1.36852394916911,1.82926829268292,Howard Park/West Arlington,1.73913043478261,63262429.7189331,36034.4979233799
30,Inner Harbor/Federal Hill,41.37931,49.63,46.46,47.76,45.61,42.82,47.19,48.477157,51.4423076923076,54.6318289786223,Inner Harbor/Federal Hill,57.5174825174825,24995835.8388672,43415.0593769836
31,Lauraville,8.174224,11.13,11.4,11.59,10.72,10.81,10.46,10.204082,12.0092378752886,12.0743034055727,Greater Lauraville,15.0429799426934,49665744.2211914,34419.6753796389
32,Loch Raven,0.795404,0.76,0.51,0.44,0.64,0.54,0.8,0.7331378,1.29802699896157,1.27931769722814,Loch Raven,1.21241513094083,44147811.8812256,29314.3329894163
33,Madison/East End,1.229508,1.03,0.91,1.15,1.54,1.51,2.34,2.1171489,2.22772277227722,2.18228498074454,Madison/East End,2.13827512473272,8897845.18237305,13120.1590652664
34,Medfield/Hampden/Woodberry/Remington,57.6087,58.56,56.62,59.92,60.41,58.66,58.31,57.15859,59.7014925373134,58.1366459627329,Hampden/Remington,59.6984924623116,62441489.0811157,43152.6263853956
35,Midtown,10.36907,12.69,12.31,14.65,13.68,16.83,15.05,17.359413,23.076923076923,23.4782608695652,Midtown,25.9259259259259,23823950.9505615,25020.0964513174
36,Midway/Coldstream,0.188501,0.25,0.31,0.35,0.23,0.42,0.87,0.9478673,1.95804195804195,2.00296735905044,Midway/Coldstream,1.83673469387755,17884471.0522461,22767.8274529143
37,Morrell Park/Violetville,67.38462,61.57,61.26,58.79,57.6,55.35,51.19,45.091324,40.3260869565217,38.3073496659242,Morrell Park/Violetville,36.0343183984747,67470845.9296265,44412.745614224
38,Mount Washington/Coldspring,39.86928,36.82,39.46,40.85,40,39.15,44.56,45.736434,52.5125628140703,53.2663316582914,Mount Washington/Coldspring,54.2372881355932,56943059.0881958,38539.7660685405
39,North Baltimore/Guilford/Homeland,42.43028,52.12,53.6,50.16,51.58,55.85,54.61,55.13245,54.2024013722126,50.0869565217391,North Baltimore/Guilford/Homeland,46.1997019374069,74923987.5419312,42904.2221264269
40,Northwood,1.195815,1.08,1.29,1.42,1.56,1.54,1.41,2.133161,3.19148936170212,3.44155844155844,Northwood,3.13588850174216,52743271.5959473,38889.892833398
41,Oldtown/Middle East,0.785193,0.68,0.83,0.6,0.71,0.49,1.05,0.9210526,1.34128166915052,1.9448946515397,Oldtown/Middle East,1.93266832917706,24585968.703064,23866.3284093761
42,Orangeville/East Highlandtown,36.17407,25.63,22.47,20.96,19.64,16.46,14.29,10.253521,9.2274678111588,7.1058091286307,Greektown/Bayview,7.3394495412844,89894371.9350586,47825.8623589403
43,Patterson Park North & East,7.514451,7.8,8.4,7.58,6.12,6.39,7.79,7.1209016,7.06997084548104,6.75477239353891,Patterson Park North & East,8.40258541089566,14507643.161377,21786.3746831444
44,Penn North/Reservoir Hill,0.774732,0.71,0.88,1.22,1.19,1.22,1.57,1.9755409,2.32067510548523,2.79569892473118,Penn North/Reservoir Hill,3.31491712707182,41059796.9436035,29078.8387875968
45,Pimlico/Arlington/Hilltop,0.279851,0.8,0.72,0.9,1.07,1.16,1,0.968523,1.49041873669268,1.29870129870129,Pimlico/Arlington/Hilltop,1.5130674002751,30400962.223999,24725.9336113068
46,Poppleton/The Terraces/Hollins Market,2.017291,2.75,2.61,1.88,2.41,1.93,1.56,1.8890201,2.44648318042813,1.63934426229508,Poppleton/The Terraces/Hollins Market,1.37672090112641,9302012.78076172,12334.027596391
47,Sandtown-Winchester/Harlem Park,0.596359,0.51,0.48,0.42,0.37,0.5,0.57,0.9232264,1.56162855549358,1.34228187919463,Sandtown-Winchester/Harlem Park,1.43769968051118,23672093.0994263,20987.144473645
48,South Baltimore,78.8961,82.43,84.44,86.97,87.89,87.97,85.88,88.4,90.1818181818181,84.3537414965986,South Baltimore,80.5104408352668,46353935.5716553,68440.0251230113
49,Southeastern,18.65407,21.18,20.52,20.05,18.74,15.48,15.16,11.995968,11.9922630560928,9.37207122774133,Southeastern,8.56685348278623,111251477.986023,102291.480998915
50,Southern Park Heights,0.339703,0.36,0.53,0.71,0.71,0.77,0.86,0.7518797,1.5625,1.80572851805728,Southern Park Heights,1.87366167023555,27876227.4512329,24052.2213635966
51,Southwest Baltimore,9.116303,10.29,9.6,10.02,9.7,9.53,9.1,9.1013384,8.58611825192802,8.68149755832881,Southwest Baltimore,7.45007680491551,37766068.7674561,28355.5624665102
52,The Waverlies,1.610429,3.67,2.82,3.23,3.43,3.04,3.17,3.6726128,5.06186726659167,5.63725490196078,The Waverlies,7.59878419452887,20383750.6871338,18733.8272340313
53,Upton/Druid Heights,0.243191,0.73,0.5,0.62,0.39,0.5425936,0.6073992,0.7434944,0.53440213760855,0.662251655629139,Upton/Druid Heights,1.13058224985868,16976621.7036133,19389.3078206059
54,Washington Village/Pigtown,18.89169,17.21,15.36,15.66,17.25,16.081871,15.30303,17.870036,17.6684881602914,16.0148975791433,Pigtown/Carroll Park,15.8238172920065,39343261.7228394,36962.2588213862
55,Westport/Mount Winans/Lakeland,6.25471,7.52,7.15,7.6340694,6.7196532,6.9037657,7.2194425,5.9803179,5.86158192090395,4.50511945392491,Westport/Mount Winans/Lakeland,4.4162129461585,45494092.8031006,42573.1245232951
